Country,Continent,Median Age,GDP per capita,Net Migration,Infant Mortality
Afghanistan,Asia,15.6,586,-739.334,78.276
Albania,Europe,31.9,4042,-150.503,16.108
Algeria,Africa,26,5523,-48.998,29.72
Angola,Africa,16,5318,82.005,104.349
Antigua and Barbuda,America,29.8,12480,-0.092,10.028
Argentina,America,30.3,10994,-199.997,13.434
Armenia,Asia,31.6,3270,-136.009,21.009
Aruba,America,38.5,24753,-0.441,16.044
Australia,Oceania,36.8,67039,1142.686,4.434
Austria,Europe,41.8,49686,159.497,3.776
Azerbaijan,Asia,28.6,6813,10.655,41.062
Bahamas,America,30.9,22431,14.363,10.041
Bahrain,Asia,30,19512,293.196,7.958
Bangladesh,Asia,24,706,-3570.954,43.666
Barbados,America,36.2,15744,1.998,11.592
Belarus,Europe,38.9,5768,40.842,6.271
Belgium,Europe,41.1,47807,338.542,3.815
Belize,America,22,4636,6.778,15.555
Benin,Africa,18.1,802,50,73.776
Bhutan,Asia,24.4,2336,16.829,40.831
Bolivia (Plurinational State of),America,21.7,2374,-165.177,45.626
Bosnia and Herzegovina,Europe,38.6,4807,-18.789,9.03
Botswana,Africa,22,8533,18.73,38.9
Brazil,America,29,12594,-499.999,23.595
Brunei Darussalam,Asia,29.5,40301,3.516,5.144
Bulgaria,Europe,42.4,7187,-83.002,9.853
Burkina Faso,Africa,16.8,595,-125,80.4
Burundi,Africa,17.7,273,163.733,93.448
Cambodia,Asia,23.5,897,-372.904,51.102
Cameroon,Africa,18,1319,-70,82.474
Canada,America,39.7,50565,1251.505,5.215
Cape Verde,Africa,22.7,3773,-31.28,21.6
Central African Republic,Africa,19.3,489,5,105.483
Chad,Africa,15.5,907,-50,105.297
Chile,America,32.1,14395,30,7.193
China,Asia,34.6,5439,-1884.105,18.366
"China, Hong Kong SAR",Asia,41.1,34161,44.716,1.867
"China, Macao SAR",Asia,36.5,65551,56.322,5.076
Colombia,America,26.8,7100,-120,19.078
Comoros,Africa,19.1,809,-10,72.262
Congo,Africa,18.9,3198,49.872,72.923
Costa Rica,America,28.4,8676,75.6,9.889
Côte d'Ivoire,Africa,18.8,1196,-290,86.575
Croatia,Europe,41.9,14217,-0.352,5.75
Cuba,America,38.4,6106,-190.123,5.121
Cyprus,Asia,34.2,30523,44.166,4.353
Czech Republic,Europe,39.5,20607,300.397,3.149
Dem. People's Republic of Korea,Asia,33.1,506,0,27.29
Democratic Republic of the Congo,Africa,17.1,237,-23.975,115.898
Denmark,Europe,40.6,59581,87.989,3.822
Djibouti,Africa,22,1417,-19.965,63.448
Dominican Republic,America,25,5512,-140,29.583
Ecuador,America,25.2,4526,-46.47,21.081
Egypt,Africa,24.4,2801,-346.922,23.457
El Salvador,America,23.1,3702,-291.71,20.604
